# Performance Report - Real-time Path Tracing Voxel Renderer (Run Summary)
# Format: Timestamp         | Frames | Resolution | WholeFrame | StdDev | ScenePrep | RendererUpd | PathTrace | Denoiser | PostProc | Comment
# ===============================================================================================================================
2025-07-02 01:09:00.678 |     64 | 1920x1080  |       5.18 |   3.11 |      0.21 |        0.00 |      1.36 |     0.07 |     3.12 | new format test
2025-07-02 01:09:09.353 |     64 | 3840x2160  |      20.33 |   7.74 |      0.24 |        0.00 |      4.49 |     0.09 |    13.83 | RTX 4090 4K baseline performance test
2025-07-10 23:57:09.680 |     64 | 3840x2160  |      23.17 |  13.02 |      0.27 |        0.00 |      5.55 |     0.10 |    15.52 | default run
2025-07-11 00:55:15.784 |     64 | 3840x2160  |      20.56 |   7.91 |      0.21 |        0.01 |      4.55 |     0.10 |    13.96 | default run
2025-07-14 17:23:12.810 |     64 | 3840x2160  |      25.69 |  32.99 |      0.29 |        0.01 |      7.30 |     0.55 |    14.14 | default run
2025-07-14 17:23:54.545 |     64 | 3840x2160  |      21.65 |   7.99 |      0.21 |        0.01 |      4.65 |     0.13 |    13.70 | default run
2025-07-14 17:26:56.920 |     64 | 3840x2160  |      20.94 |   8.41 |      0.30 |        0.01 |      4.59 |     0.09 |    14.23 | default run
2025-07-14 17:35:42.989 |     64 | 3840x2160  |      20.55 |   7.90 |      0.22 |        0.01 |      4.50 |     0.09 |    13.98 | default run
2025-07-14 23:19:18.745 |     64 | 3840x2160  |      37.70 |   7.63 |      0.19 |        0.45 |     10.89 |     0.09 |    24.45 | default run
2025-07-14 23:25:56.070 |     64 | 3840x2160  |      42.67 |   6.25 |      0.20 |        0.43 |     22.46 |     0.09 |    17.91 | default run
2025-07-14 23:26:21.432 |     64 | 3840x2160  |      42.63 |   6.44 |      0.20 |        0.44 |     22.37 |     0.09 |    17.98 | default run
2025-07-14 23:52:46.126 |     64 | 3840x2160  |      48.81 |  38.52 |      0.26 |        0.45 |     25.66 |     2.06 |    18.74 | default run
2025-07-15 00:11:20.939 |     64 | 3840x2160  |      48.23 |  23.91 |      0.31 |        0.46 |     26.49 |     0.10 |    19.21 | default run
2025-07-15 09:13:15.613 |     64 | 3840x2160  |      51.64 |  40.98 |      0.23 |        0.47 |     29.57 |     0.10 |    19.55 | default run
2025-07-15 11:03:18.393 |     64 | 3840x2160  |      48.59 |  29.16 |      0.23 |        0.46 |     27.05 |     0.10 |    19.04 | default run
2025-07-15 11:16:40.976 |     64 | 3840x2160  |      48.20 |  26.71 |      0.30 |        0.45 |     26.37 |     0.32 |    19.11 | default run
2025-07-15 11:17:14.328 |     64 | 3840x2160  |      45.45 |   6.80 |      0.19 |        0.45 |     24.00 |     0.10 |    19.03 | default run
2025-07-15 16:31:06.874 |     64 | 3840x2160  |      45.35 |   6.66 |      0.21 |        0.45 |     23.87 |     0.09 |    19.09 | default run
2025-07-15 16:32:03.395 |     64 | 3840x2160  |      47.72 |   6.45 |      0.19 |        0.46 |     25.26 |     0.10 |    20.04 | default run
